id layer;id stack;xO;yO;zO;xE;yE;zE;flag top;
0;0;0;1300;0;1250;2350;850;0
1;0;0;1300;850;1250;2350;1700;0
2;0;0;1300;1700;1250;2350;2550;1
3;1;0;0;0;1250;1050;850;0
4;1;0;0;850;1200;1000;1595;0
5;1;0;0;1595;1200;1000;2340;1
6;2;1250;1200;0;2600;2350;1100;0
7;2;1250;1200;1100;2600;2350;2200;1
8;3;1250;0;0;2600;1150;1100;0
9;3;1250;0;1100;2600;1150;2200;1
10;4;2600;1200;0;3950;2350;1100;0
11;4;2600;1200;1100;3950;2350;2200;1
12;5;2600;0;0;3950;1150;1100;0
13;5;2600;0;1100;3950;1150;2200;1
14;6;3950;1200;0;5300;2350;1100;0
15;6;3950;1200;1100;5300;2350;2200;1
16;7;3950;0;0;5300;1150;1100;0
17;7;3950;0;1100;5300;1150;2200;1
18;8;5300;1210;0;6750;2350;555;0
19;8;5300;1210;555;6750;2350;1110;0
20;8;5300;1210;1110;6550;2260;1960;1
21;9;5300;0;0;6650;1150;1100;0
22;9;5300;0;1100;6550;1050;1950;1
23;10;6650;0;0;7600;1140;640;0
24;10;6650;0;640;7600;1140;1280;0
25;10;6650;0;1280;7600;1140;1920;1
26;11;6750;1210;0;7700;2350;850;0
27;11;6750;1210;850;7700;2350;1700;1
28;12;7600;0;0;11480;470;550;0
29;12;7600;0;550;11480;470;1100;1
30;13;0;1210;0;1740;2350;850;0
31;13;0;1210;850;1740;2350;1700;0
32;13;0;1210;1700;1740;2350;2550;1
33;14;0;0;0;1740;1140;850;0
34;14;0;0;850;1740;1140;1700;0
35;14;0;0;1700;1740;1140;2550;1
36;15;1740;1200;0;3090;2350;1100;0
37;15;1740;1200;1100;3090;2350;2200;1
38;16;1740;0;0;3090;1150;1100;0
39;16;1740;0;1100;3090;1150;2200;1
40;17;3090;1200;0;4440;2350;1100;0
41;17;3090;1200;1100;4440;2350;2200;1
42;18;3090;0;0;4440;1150;1100;0
43;18;3090;0;1100;4440;1150;2200;1
44;19;4440;1200;0;5790;2350;1100;0
45;19;4440;1200;1100;5790;2350;2200;1
46;20;4440;0;0;5790;1150;1100;0
47;20;4440;0;1100;5790;1150;2200;1
48;21;5790;1200;0;7140;2350;1100;0
49;21;5790;1200;1100;7140;2350;2200;1
50;22;5790;0;0;7140;1150;1100;0
51;22;5790;0;1100;7140;1150;2200;1
52;23;7140;1200;0;8490;2350;1100;0
53;23;7140;1200;1100;8490;2350;2200;1
54;24;7140;0;0;8490;1150;1100;0
55;24;7140;0;1100;8490;1150;2200;1
56;25;8490;1200;0;9840;2350;1100;0
57;25;8490;1200;1100;9840;2350;2200;1
58;26;8490;0;0;9840;1150;1100;0
59;26;8490;0;1100;9840;1150;2200;1
60;27;9840;1200;0;11190;2350;1100;0
61;27;9840;1200;1100;11190;2350;2200;1
62;28;9840;0;0;11580;1140;850;0
63;28;9840;0;850;11580;1140;1490;0
64;28;9840;0;1490;11580;1140;2130;1
