id stack;id bin;xO;yO;zO;xE;yE;zE;
0;0;0;1300;0;1250;2350;2550
1;0;0;0;0;1250;1050;2340
2;0;1250;1200;0;2600;2350;2200
3;0;1250;0;0;2600;1150;2200
4;0;2600;1200;0;3950;2350;2200
5;0;2600;0;0;3950;1150;2200
6;0;3950;1200;0;5300;2350;2200
7;0;3950;0;0;5300;1150;2200
8;0;5300;1210;0;6750;2350;1960
9;0;5300;0;0;6650;1150;1950
10;0;6650;0;0;7600;1140;1920
11;0;6750;1210;0;7700;2350;1700
12;0;7600;0;0;11480;470;1100
13;1;0;1210;0;1740;2350;2550
14;1;0;0;0;1740;1140;2550
15;1;1740;1200;0;3090;2350;2200
16;1;1740;0;0;3090;1150;2200
17;1;3090;1200;0;4440;2350;2200
18;1;3090;0;0;4440;1150;2200
19;1;4440;1200;0;5790;2350;2200
20;1;4440;0;0;5790;1150;2200
21;1;5790;1200;0;7140;2350;2200
22;1;5790;0;0;7140;1150;2200
23;1;7140;1200;0;8490;2350;2200
24;1;7140;0;0;8490;1150;2200
25;1;8490;1200;0;9840;2350;2200
26;1;8490;0;0;9840;1150;2200
27;1;9840;1200;0;11190;2350;2200
28;1;9840;0;0;11580;1140;2130
